Time,Species,Group,Population,pi,pj,pk
1,1,Plants,0,5,11,0
1,1,Seeds,1,5,11,0
1,1,Microbes,0.099,5,11,0
1,2,Plants,0,5,11,0
1,2,Seeds,1,5,11,0
1,2,Microbes,0.099,5,11,0
1,3,Plants,1,5,11,0
1,3,Seeds,0,5,11,0
1,3,Microbes,0.099,5,11,0
2,1,Plants,0,5,11,0
2,1,Seeds,1,5,11,0
2,1,Microbes,0.10098990000000001,5,11,0
2,2,Plants,0,5,11,0
2,2,Seeds,1,5,11,0
2,2,Microbes,0.10098990000000001,5,11,0
2,3,Plants,0.8109000000000001,5,11,0
2,3,Seeds,0,5,11,0
2,3,Microbes,0.1217799,5,11,0
3,1,Plants,0,5,11,0
3,1,Seeds,1,5,11,0
3,1,Microbes,0.10242678530709902,5,11,0
3,2,Plants,0,5,11,0
3,2,Seeds,1,5,11,0
3,2,Microbes,0.10242678530709902,5,11,0
3,3,Plants,0.666383096781,5,11,0
3,3,Seeds,0,5,11,0
3,3,Microbes,0.14399718261399896,5,11,0
4,1,Plants,0,5,11,0
4,1,Seeds,1,5,11,0
4,1,Microbes,0.10342532502385238,5,11,0
4,2,Plants,0,5,11,0
4,2,Seeds,1,5,11,0
4,2,Microbes,0.10342532502385238,5,11,0
4,3,Plants,0.5522359800382793,5,11,0
4,3,Seeds,0,5,11,0
4,3,Microbes,0.1649534129886554,5,11,0
5,1,Plants,0,5,11,0
5,1,Seeds,1,5,11,0
5,1,Microbes,0.10406910080998318,5,11,0
5,2,Plants,0,5,11,0
5,2,Seeds,1,5,11,0
5,2,Microbes,0.10406910080998318,5,11,0
5,3,Plants,0.46014244793346587,5,11,0
5,3,Seeds,0,5,11,0
5,3,Microbes,0.1840948204667826,5,11,0
6,1,Plants,1,5,11,0
6,1,Seeds,0,5,11,0
6,1,Microbes,0.10442266135967154,5,11,0
6,2,Plants,0,5,11,0
6,2,Seeds,1,5,11,0
6,2,Microbes,0.10442266135967154,5,11,0
6,3,Plants,0.3848244218114443,5,11,0
6,3,Seeds,0,5,11,0
6,3,Microbes,0.20103609209646264,5,11,0
7,1,Plants,0.7770355755552583,5,11,0
7,1,Seeds,0,5,11,0
7,1,Microbes,0.1295992225739015,5,11,0
7,2,Plants,0,5,11,0
7,2,Seeds,1,5,11,0
7,2,Microbes,0.10767046368837048,5,11,0
7,3,Plants,0,5,11,0
7,3,Seeds,1.1544732654343328,5,11,0
