Time,Species,Group,Population,pi,pj,pk
1,1,Plants,0,5,11,0
1,1,Seeds,1,5,11,0
1,1,Microbes,0.099,5,11,0
1,2,Plants,0,5,11,0
1,2,Seeds,1,5,11,0
1,2,Microbes,0.099,5,11,0
1,3,Plants,1,5,11,0
1,3,Seeds,0,5,11,0
1,3,Microbes,0.099,5,11,0
2,1,Plants,0,5,11,0
2,1,Seeds,1,5,11,0
2,1,Microbes,0.10989990000000001,5,11,0
2,2,Plants,0,5,11,0
2,2,Seeds,1,5,11,0
2,2,Microbes,0.10989990000000001,5,11,0
2,3,Plants,0.8109000000000001,5,11,0
2,3,Seeds,0,5,11,0
2,3,Microbes,0.10395990000000001,5,11,0
3,1,Plants,0,5,11,0
3,1,Seeds,1,5,11,0
3,1,Microbes,0.11938624066719901,5,11,0
3,2,Plants,0,5,11,0
3,2,Seeds,1,5,11,0
3,2,Microbes,0.11938624066719901,5,11,0
3,3,Plants,0.666383096781,5,11,0
3,3,Seeds,0,5,11,0
3,3,Microbes,0.10793719889379902,5,11,0
4,1,Plants,0,5,11,0
4,1,Seeds,1,5,11,0
4,1,Microbes,0.12750776995339635,5,11,0
4,2,Plants,0,5,11,0
4,2,Seeds,1,5,11,0
4,2,Microbes,0.12750776995339635,5,11,0
4,3,Plants,0.5526640124951316,5,11,0
4,3,Seeds,0,5,11,0
4,3,Microbes,0.11108780649469804,5,11,0
5,1,Plants,0,5,11,0
5,1,Seeds,1,5,11,0
5,1,Microbes,0.13433822150555755,5,11,0
5,2,Plants,0,5,11,0
5,2,Seeds,1,5,11,0
5,2,Microbes,0.13433822150555755,5,11,0
5,3,Plants,0.4614206181013668,5,11,0
5,3,Seeds,0,5,11,0
5,3,Microbes,0.11353741039211623,5,11,0
6,1,Plants,1,5,11,0
6,1,Seeds,0,5,11,0
6,1,Microbes,0.13997191675403786,5,11,0
6,2,Plants,0,5,11,0
6,2,Seeds,1,5,11,0
6,2,Microbes,0.13997191675403786,5,11,0
6,3,Plants,0.3872213136751948,5,11,0
6,3,Seeds,0,5,11,0
6,3,Microbes,0.11539164616110698,5,11,0
7,1,Plants,0.7813993560992452,5,11,0
7,1,Seeds,0,5,11,0
7,1,Microbes,0.1529150311492762,5,11,0
7,2,Plants,0,5,11,0
7,2,Seeds,1,5,11,0
7,2,Microbes,0.1613133461545185,5,11,0
7,3,Plants,0,5,11,0
7,3,Seeds,1.1616639410255845,5,11,0
