Time,Species,Group,Population,pi,pj,pk
1,1,Plants,0,5,11,0
1,1,Seeds,1,5,11,0
1,1,Microbes,0.099,5,11,0
1,2,Plants,0,5,11,0
1,2,Seeds,1,5,11,0
1,2,Microbes,0.099,5,11,0
1,3,Plants,1,5,11,0
1,3,Seeds,0,5,11,0
1,3,Microbes,0.099,5,11,0
2,1,Plants,0,5,11,0
2,1,Seeds,1,5,11,0
2,1,Microbes,0.09801990000000001,5,11,0
2,2,Plants,0,5,11,0
2,2,Seeds,1,5,11,0
2,2,Microbes,0.09801990000000001,5,11,0
2,3,Plants,0.8109000000000001,5,11,0
2,3,Seeds,0,5,11,0
2,3,Microbes,0.1277199,5,11,0
3,1,Plants,0,5,11,0
3,1,Seeds,1,5,11,0
3,1,Microbes,0.097059109920399,5,11,0
3,2,Plants,0,5,11,0
3,2,Seeds,1,5,11,0
3,2,Microbes,0.097059109920399,5,11,0
3,3,Plants,0.666383096781,5,11,0
3,3,Seeds,0,5,11,0
3,3,Microbes,0.157159082787399,5,11,0
4,1,Plants,0,5,11,0
4,1,Seeds,1,5,11,0
4,1,Microbes,0.09611706283854499,5,11,0
4,2,Plants,0,5,11,0
4,2,Seeds,1,5,11,0
4,2,Microbes,0.09611706283854499,5,11,0
4,3,Plants,0.5517508765871801,5,11,0
4,3,Seeds,0,5,11,0
4,3,Microbes,0.1861076319396799,5,11,0
5,1,Plants,0,5,11,0
5,1,Seeds,1,5,11,0
5,1,Microbes,0.0951932138616741,5,11,0
5,2,Plants,0,5,11,0
5,2,Seeds,1,5,11,0
5,2,Microbes,0.0951932138616741,5,11,0
5,3,Plants,0.4586828546813318,5,11,0
5,3,Seeds,0,5,11,0
5,3,Microbes,0.21344954159174517,5,11,0
6,1,Plants,1,5,11,0
6,1,Seeds,0,5,11,0
6,1,Microbes,0.09428703906514266,5,11,0
6,2,Plants,0,5,11,0
6,2,Seeds,1,5,11,0
6,2,Microbes,0.09428703906514266,5,11,0
6,3,Plants,0.3820740679949353,5,11,0
6,3,Seeds,0,5,11,0
6,3,Microbes,0.23826516443148954,5,11,0
7,1,Plants,0.7719482272314675,5,11,0
7,1,Seeds,0,5,11,0
7,1,Microbes,0.1216841462111183,5,11,0
7,2,Plants,0,5,11,0
7,2,Seeds,1,5,11,0
7,2,Microbes,0.09339803449157548,5,11,0
7,3,Plants,0,5,11,0
7,3,Seeds,1.146222203984806,5,11,0
