Experiment,Study,Species A,Species B,species_pair,Fraction inoculum,Training environment,Testing environment,Testing community,AinA mean,AinA se,AinA N,AinB mean,AinB se,AinB N,BinB mean,BinB se,BinB N,BinA mean,BinA se,BinA N,AinR mean,AinR se,AinR N,BinR mean,BinR se,BinR N,author,year,who_entered,study_control_type,control_type,Study_sterilization_method
1,1,anthoxanthum_odoratum,danthonia_spicata,anthoxanthum_odoratum_danthonia_spicata,0.033333333,Lab,Lab,Individual,2.429,0.135,9,2.581,0.179,6,1.066,0.162,8,1.862,0.157,6,2.452941,0.132353,9,1.8,0.158824,9,Bever,1994,xinyi,CmS,CmS,pasteurization
1,1,anthoxanthum_odoratum,panicum_sphaerocarpon,anthoxanthum_odoratum_panicum_sphaerocarpon,0.033333333,Lab,Lab,Individual,2.429,0.135,9,2.537,0.162,6,2.142,0.168,9,2.629,0.186,6,2.452941,0.132353,9,2.594118,0.141176,9,Bever,1994,xinyi,CmS,CmS,pasteurization
1,1,danthonia_spicata,panicum_sphaerocarpon,danthonia_spicata_panicum_sphaerocarpon,0.033333333,Lab,Lab,Individual,1.066,0.162,8,0.882,0.168,6,2.142,0.168,9,2.137,0.168,6,1.8,0.158824,9,2.594118,0.141176,9,Bever,1994,xinyi,CmS,CmS,pasteurization
3,6,fragaria_chiloensis,fragaria_vesca,fragaria_chiloensis_fragaria_vesca,1,Field,Lab,Individual,1.433,0.1149012,7,1.443,0.196163561,7,0.853,0.068033605,7,1.022,0.075660426,8,1.475,0.312,8,0.702,0.204,8,Burns and Strauss,2010,gaurav,GS,GS,not specified
3,6,rumex_occidentalis,rumex_salicifolius,rumex_occidentalis_rumex_salicifolius,1,Field,Lab,Individual,0.313,0.03853732,8,0.251,0.051618795,8,0.179,0.122329473,2,0.163,0.043133514,8,0.129,0.037,7,0,0,7,Burns and Strauss,2010,gaurav,GS,GS,not specified
3,6,trifolium_barbigerum,trifolium_macraei,trifolium_barbigerum_trifolium_macraei,1,Field,Lab,Individual,0.448,0.206691396,3,0.547,0.167257885,5,0.813,0.12410748,6,1.101,0.315575929,6,0.009,0.008,9,0.008,0.003,8,Burns and Strauss,2010,gaurav,GS,GS,not specified
6,10,bromus_inermis,agropyron_cristatum,agropyron_cristatum_bromus_inermis,1,Lab,Lab,Community,0.029,0.003,32,0.024,0.003,32,0.012,0.002,32,0.009,0.002,32,0.026007333,0.001604543,3,0.014641667,0.001038477,3,Jordan et al,2008,xinyi,CS,CS,pasteurization
6,10,euphorbia_esula,agropyron_cristatum,agropyron_cristatum_euphorbia_esula,1,Lab,Lab,Community,0.013,0.003,32,0.008,0.002,32,0.012,0.002,32,0.005,0.002,32,0.004366,0.001565399,3,0.014641667,0.001038477,3,Jordan et al,2008,xinyi,CS,CS,pasteurization
6,10,euphorbia_esula,bromus_inermis,bromus_inermis_euphorbia_esula,1,Lab,Lab,Community,0.013,0.003,32,0.013,0.003,32,0.029,0.003,32,0.015,0.003,32,0.004366,0.001565399,3,0.026007333,0.001604543,3,Jordan et al,2008,xinyi,CS,CS,pasteurization
7,19,panicum_maximum,chromolaena_odorata,chromolaena_odorata_panicum_maximum,0.2,Lab,Lab,Individual,7.889,0.224,6,10.414,0.307,6,4.675,0.32,6,4.658,0.649,6,9.499669914,0.415823727,2,5.203295299,0.308572643,2,teBeest et al,2009,gaurav,CS,CS,gamma irradiation
20,38,apeiba_membranacea,colubrina_spinosa,apeiba_membranacea_colubrina_spinosa,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.556675512,0.612483445,30,16.13,1.154547135,30,16.83209636,1.404578271,30,4.433594,0.520059612,6,17.19576833,1.284158952,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,apeiba_membranacea,iriartea_deltoidea,apeiba_membranacea_iriartea_deltoidea,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.23831562,0.564298652,30,179.6765574,11.97929974,30,166.4152648,12.71950779,30,4.433594,0.520059612,6,185.625,10.56508844,5,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,apeiba_membranacea,pentaclethra_macroloba,apeiba_membranacea_pentaclethra_macroloba,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.457550158,0.529402477,30,1451.326619,92.87634316,30,1847.289449,118.4077964,30,4.433594,0.520059612,6,1726.1905,112.3092929,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,apeiba_membranacea,prestoea_decurrens,apeiba_membranacea_prestoea_decurrens,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,5.128806299,0.625094642,30,69.35,3.598950499,30,70.99198566,3.696427087,30,4.433594,0.520059612,6,64.0625,3.827327723,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,apeiba_membranacea,virola_koschnyi,apeiba_membranacea_virola_koschnyi,0.090661831,LabField,Lab,Individual,4.333459022,0.533993983,30,4.495887031,0.606389133,30,630.1138383,37.75147902,30,722.5886446,36.95696842,30,4.433594,0.520059612,6,729.1666667,37.28599235,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,colubrina_spinosa,iriartea_deltoidea,colubrina_spinosa_iriartea_deltoidea,0.090661831,LabField,Lab,Individual,16.13,1.154547135,30,16.13288986,1.608595894,30,179.6765574,11.97929974,30,141.5361593,22.6279663,30,17.19576833,1.284158952,6,185.625,10.56508844,5,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,colubrina_spinosa,pentaclethra_macroloba,colubrina_spinosa_pentaclethra_macroloba,0.090661831,LabField,Lab,Individual,16.13,1.154547135,30,16.60177941,1.107388823,30,1451.326619,92.87634316,30,1826.616292,129.3173553,30,17.19576833,1.284158952,6,1726.1905,112.3092929,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,colubrina_spinosa,prestoea_decurrens,colubrina_spinosa_prestoea_decurrens,0.090661831,LabField,Lab,Individual,16.13,1.154547135,30,16.20155867,1.161839454,30,69.35,3.598950499,30,70.37442832,3.77330981,30,17.19576833,1.284158952,6,64.0625,3.827327723,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,colubrina_spinosa,virola_koschnyi,colubrina_spinosa_virola_koschnyi,0.090661831,LabField,Lab,Individual,16.13,1.154547135,30,17.34,1.129605969,30,630.1138383,37.75147902,30,771.8145594,41.33913915,30,17.19576833,1.284158952,6,729.1666667,37.28599235,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,iriartea_deltoidea,pentaclethra_macroloba,iriartea_deltoidea_pentaclethra_macroloba,0.090661831,LabField,Lab,Individual,179.6765574,11.97929974,30,258.0638356,9.782898681,30,1451.326619,92.87634316,30,1580.393308,104.4620245,30,185.625,10.56508844,5,1726.1905,112.3092929,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
20,38,iriartea_deltoidea,prestoea_decurrens,iriartea_deltoidea_prestoea_decurrens,0.090661831,LabField,Lab,Individual,179.6765574,11.97929974,30,209.938434,10.44534913,30,69.35,3.598950499,30,69.37204102,3.681456518,30,185.625,10.56508844,5,64.0625,3.827327723,6,McCarthy-Neuman & Kobe,2010,xinyi,CS,CS,autoclaving
